ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
256,Female,Class of 2027,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,10
258,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
259,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,15
264,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always","fun, responsible and organized",0
265,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,0
269,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Chill,9
270,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",All the above mentioned ,3
274,Female,Class of 2027,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Calm,10
275,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,1
276,Female,Class of 2025,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,2
278,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,2
282,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Chill,1
283,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,12
289,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
290,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, all the time",Friendly,0
293,Female,Class of 2025,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,3
294,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,13
295,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,3
296,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Going for events on/off-campus,Nope!,Friendly,9
297,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
298,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
299,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Going for events on/off-campus,"Yup, but not always",Friendly,7
300,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,7
301,Female,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly,5
302,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
303,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
304,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,10
305,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,3
307,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,11
308,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
309,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,7
310,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
311,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Responsible,0
312,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
314,Female,Class of 2027,Somewhere in between,10PM or earlier,In the room,Hanging out with friends,"Yup, but not always",Responsible,0
315,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
316,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
318,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
320,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Friendly,9
321,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,0
322,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,13
323,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Organized,7
325,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,2
326,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,16
329,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
330,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Going for events on/off-campus,"Yup, but not always",Chill,7
332,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,4
336,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Chill,1
337,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,3
338,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,0
339,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly,4
340,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
341,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,16
343,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,11
346,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,9
348,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,2
351,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
353,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Friendly,8
354,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,5
355,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
356,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Fun,7
357,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
358,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,4
359,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
360,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, all the time",Friendly,0
361,Female,Class of 2027,I am extroverted,10PM or earlier,In the room,Going for events on/off-campus,"Yup, all the time",Fun,6
362,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Friendly,9
363,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly,0
365,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,4
366,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Fun,0
367,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Going for events on/off-campus,"Yup, but not always",Chill,16
368,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
370,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,1
372,Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
373,Female,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Organized,2
375,Female,Class of 2025,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,1
376,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,15
377,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
379,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly,0
382,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
386,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,4
390,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
391,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,2
393,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,1
394,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,12
395,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,0
398,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
399,Female,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,12
401,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Not really, but I don't mind",Fun,3
405,Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Chill,8
406,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
407,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,9
408,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
409,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,16
410,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,6
411,Female,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Chill,5
412,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,1
413,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Chill,7
414,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
415,Female,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
416,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,0
417,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Unsociable ,10
418,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,9
419,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,14
420,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
421,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
422,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Responsible,6
423,Female,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Organized,2
424,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,3
426,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
427,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,13
429,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,11
430,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,4
431,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,16
432,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun,6
433,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,4
434,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,1
441,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
442,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,7
444,Female,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,3
445,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,9
449,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Organized,7
453,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
454,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,10
458,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,14
462,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,10
465,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
469,Female,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Fun,5
470,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,16
473,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,11
474,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Going for events on/off-campus,"Not really, but I don't mind",Friendly,9
475,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,1
481,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
482,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,4
483,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
484,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,11
485,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun,13
486,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
487,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Friendly,11
489,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,12
493,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,16
495,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,14
497,Female,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Friendly,9
498,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Friendly,9
500,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,1
502,Female,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,0
503,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Organized,6
504,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Fun,6
