Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?
Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly
Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized
Male,Class of 2026,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Going for events on/off-campus,"Yup, all the time",Responsible
Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Reserved
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Male,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun
Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized
Male,Class of 2027,I am introverted,10PM or earlier,In the room,Hanging out with friends,"Yup, but not always",Organized
Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly
Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Fun
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, all the time",Friendly
Female,Class of 2027,I am extroverted,10PM or earlier,In the room,Going for events on/off-campus,"Yup, all the time",Fun
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Friendly
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly
Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill
Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Fun
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Going for events on/off-campus,"Yup, but not always",Chill
Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun
Male,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly
Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Female,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Organized
Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2025,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Chill
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly
Male,Class of 2027,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, all the time",Fun
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun
Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Organized
Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Male,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized
Male,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Responsible
Male,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Not really, but I don't mind",Fun
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun
Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Responsible
Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Chill
Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun
Female,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Chill
Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill
Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Chill
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Unsociable 
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly
Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Responsible
Female,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Organized
Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun
Male,Class of 2026,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible
Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible
Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun
Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, all the time",Friendly
Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Fun
Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly
Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized
Male,Class of 2027,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun
Female,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized
Male,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Organized
Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized
Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible
Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Chill
Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Male,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Responsible
Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun
Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible
Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible
Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Male,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Chill
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun
Female,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Fun
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Going for events on/off-campus,"Not really, but I don't mind",Friendly
Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Male,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Fun
Male,Class of 2024,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Going for events on/off-campus,"Not really, but I don't mind",Responsible
Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Organized
Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill
Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun
Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized
Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Friendly
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized
Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill
Male,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill
Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill
Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized
Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Fun
Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly
Male,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind","I see more than just one ,I have about 20% of everything there"
Female,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Friendly
Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Friendly
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly
Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized
Female,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Organized
Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Fun
Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly
Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Chill
